reaction_smiles,shown_option_1,shown_option_1_slots,shown_option_2,shown_option_2_slots,user_choice,is_option_1_GT
[CH3:1][O:2][SiH:3](Cl)[O:4][CH3:5].[CH3:9][O:8][SiH:7]([NH:6][SiH:12]([O:13][CH3:14])[O:15][CH3:16])[O:10][CH3:11]>>[CH3:1][O:2][SiH:3]([O:4][CH3:5])[N:6]([SiH:7]([O:8][CH3:9])[O:10][CH3:11])[SiH:12]([O:13][CH3:14])[O:15][CH3:16],CCCCCC,Solvent,"CCCCCC, CCN(CC)CC","Solvent, Reagent",Option 2,False
[CH3:1][Si:2]([CH3:3])([CH3:4])Cl.[OH:5][Si:6]([CH2:7][n:8]1[cH:9][cH:10][n:11][cH:12]1)([c:13]1[cH:14][cH:15][c:16]([F:17])[cH:18][cH:19]1)[c:20]1[cH:21][cH:22][c:23]([F:24])[cH:25][cH:26]1>>[CH3:1][Si:2]([CH3:3])([CH3:4])[O:5][Si:6]([CH2:7][n:8]1[cH:9][cH:10][n:11][cH:12]1)([c:13]1[cH:14][cH:15][c:16]([F:17])[cH:18][cH:19]1)[c:20]1[cH:21][cH:22][c:23]([F:24])[cH:25][cH:26]1,"CN(C)C=O, c1c[nH]cn1","Solvent, Reagent","C1CCOC1, CCN(CC)CC","Solvent, Reagent",Option 1,False
[CH3:1][S:2](=[O:3])(=[O:4])[N:5]1[CH2:6][C@@H:7]([P:8](=[O:9])([c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:22][C@H:23]1[CH2:24][OH:25]>>[CH3:1][S:2](=[O:3])(=[O:4])[N:5]1[CH2:6][C@@H:7]([P:8](=[O:9])([CH:10]2[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]2)[CH:16]2[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]2)[CH2:22][C@H:23]1[CH2:24][OH:25],"CO, C1COCCO1, CC(=O)O","Solvent, Solvent, Reagent",CO,Solvent,Bad,False
[CH3:1][CH2:2][O:3][P:4]([CH3:6])(=[O:5])[O:39][CH2:40][CH3:41].[CH3:11][C@@H:10]1[O:9][C:7](=[O:8])[C@@H:30]([O:31][CH2:32][c:33]2[cH:34][cH:35][cH:36][cH:37][cH:38]2)[C@H:21]([O:22][CH2:23][c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[C@@H:12]1[O:13][CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6][C@@:7]1([OH:8])[O:9][C@@H:10]([CH3:11])[C@@H:12]([O:13][CH2:14][c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[C@@H:21]([O:22][CH2:23][c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[C@@H:30]1[O:31][CH2:32][c:33]1[cH:34][cH:35][cH:36][cH:37][cH:38]1)[O:39][CH2:40][CH3:41],C1CCOC1,Solvent,"C1CCOC1, [CH2]CCC.[Li]","Solvent, Reagent",Option 2,True
[CH3:1][CH2:2][O:3][P:4](=[O:5])(/[CH:6]=[CH:7]/[c:8]1[cH:9][n:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[n:17][c:18]1[O:19]Cc1ccccc1)[O:20][CH2:21][CH3:22]>>[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6][CH2:7][c:8]1[cH:9][n:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[n:17][c:18]1[OH:19])[O:20][CH2:21][CH3:22],"[Pd], C1CCOC1","Catalyst, Solvent","[C].[Pd], C1CCOC1","Catalyst, Solvent",Tie,True
[CH3:1][CH2:2][O:3][P:4](=[O:5])([O:6]Cc1ccccc1)[O:7][CH:8]([CH3:9])[O:10][C:11](=[O:12])[N:13]([CH2:14][C@H:15]1[CH2:16][N:17]([c:18]2[cH:19][cH:20][c:21]([N:22]3[CH2:23][c:24]4[cH:25][n:26]([CH3:27])[n:28][c:29]4[CH2:30]3)[c:31]([F:32])[cH:33]2)[C:34](=[O:35])[O:36]1)[C:37]([CH3:38])=[O:39]>>[CH3:1][CH2:2][O:3][P:4](=[O:5])([OH:6])[O:7][CH:8]([CH3:9])[O:10][C:11](=[O:12])[N:13]([CH2:14][C@H:15]1[CH2:16][N:17]([c:18]2[cH:19][cH:20][c:21]([N:22]3[CH2:23][c:24]4[cH:25][n:26]([CH3:27])[n:28][c:29]4[CH2:30]3)[c:31]([F:32])[cH:33]2)[C:34](=[O:35])[O:36]1)[C:37]([CH3:38])=[O:39],"[Pd], CO","Catalyst, Solvent","[Pd], CO","Catalyst, Solvent",Tie,True
[CH3:1][O:2][C:3](=[O:4])[C@@H:6]([NH2:20])[CH:5]([CH2:7][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[cH:18][cH:19]1)C(=O)OC(C)(C)C.[CH3:25][O:24][P:22](=[O:23])([CH2:21]OS(=O)(=O)C(F)(F)F)[O:26][CH3:27]>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][C@H:6]([CH2:7][c:8]1[cH:9][cH:10][c:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[cH:18][cH:19]1)[NH:20][CH2:21][P:22](=[O:23])([O:24][CH3:25])[O:26][CH3:27],ClCCl,Solvent,"CCOC(C)=O, ClCCl, CCN(C(C)C)C(C)C, O=C(O)C(F)(F)F","Solvent, Solvent, Reagent, Reagent",Option 2,False
[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6]P(=O)(OCC)OCC)[O:38][CH2:39][CH3:40].[CH3:12][CH2:11][n:10]1[cH:9][c:8]([CH:7]=O)[c:14]([O:15][CH2:16][c:17]2[cH:18][cH:19][c:20]([O:21][CH2:22][c:23]3[n:24][c:25](-[c:26]4[cH:27][cH:28][cH:29][o:30]4)[o:31][c:32]3[CH3:33])[c:34]([O:35][CH3:36])[cH:37]2)[n:13]1>>[CH3:1][CH2:2][O:3][P:4](=[O:5])(/[CH:6]=[CH:7]/[c:8]1[cH:9][n:10]([CH2:11][CH3:12])[n:13][c:14]1[O:15][CH2:16][c:17]1[cH:18][cH:19][c:20]([O:21][CH2:22][c:23]2[n:24][c:25](-[c:26]3[cH:27][cH:28][cH:29][o:30]3)[o:31][c:32]2[CH3:33])[c:34]([O:35][CH3:36])[cH:37]1)[O:38][CH2:39][CH3:40],"O, CN(C)C=O, [H-].[Na+]","Solvent, Reagent, Reagent","O, [H-].[Na+], CN(C)C=O","Solvent, Reagent, Reagent",Tie,True
[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6]P(=O)(OCC)OCC)[O:43][CH2:44][CH3:45].[CH3:41][O:40][c:39]1[cH:42][c:21]([CH2:20][O:19][c:18]2[n:17][n:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[cH:9][c:8]2[CH:7]=O)[cH:22][cH:23][c:24]1[O:25][CH2:26][c:27]1[n:28][c:29](-[c:30]2[cH:31][cH:32][cH:33][n:34][cH:35]2)[o:36][c:37]1[CH3:38]>>[CH3:1][CH2:2][O:3][P:4](=[O:5])(/[CH:6]=[CH:7]/[c:8]1[cH:9][n:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[n:17][c:18]1[O:19][CH2:20][c:21]1[cH:22][cH:23][c:24]([O:25][CH2:26][c:27]2[n:28][c:29](-[c:30]3[cH:31][cH:32][cH:33][n:34][cH:35]3)[o:36][c:37]2[CH3:38])[c:39]([O:40][CH3:41])[cH:42]1)[O:43][CH2:44][CH3:45],"O, [H-].[Na+], CN(C)C=O","Solvent, Reagent, Reagent","O, CN(C)C=O, [H-].[Na+]","Solvent, Reagent, Reagent",Tie,False
[CH3:1][CH2:2][O:3][P:4](=[O:5])([CH2:6]P(=O)(OCC)OCC)[O:43][CH2:44][CH3:45].[CH3:41][O:40][c:39]1[cH:42][c:21]([CH2:20][O:19][c:18]2[n:17][n:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[cH:9][c:8]2[CH:7]=O)[cH:22][cH:23][c:24]1[O:25][CH2:26][c:27]1[cH:28][n:29](-[c:30]2[cH:31][cH:32][cH:33][cH:34][n:35]2)[n:36][c:37]1[CH3:38]>>[CH3:1][CH2:2][O:3][P:4](=[O:5])(/[CH:6]=[CH:7]/[c:8]1[cH:9][n:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[n:17][c:18]1[O:19][CH2:20][c:21]1[cH:22][cH:23][c:24]([O:25][CH2:26][c:27]2[cH:28][n:29](-[c:30]3[cH:31][cH:32][cH:33][cH:34][n:35]3)[n:36][c:37]2[CH3:38])[c:39]([O:40][CH3:41])[cH:42]1)[O:43][CH2:44][CH3:45],"O, CN(C)C=O, [H-].[Na+]","Solvent, Reagent, Reagent","O, [H-].[Na+], CN(C)C=O","Solvent, Reagent, Reagent",Tie,True
